date,return_pct,type,source,confirmed
2019-07-01,-0.67,monthly,TGS-pub-op-202509 Table 1,TRUE
2019-08-01,-2.82,monthly,TGS-pub-op-202509 Table 1,TRUE
2019-09-01,-1.97,monthly,TGS-pub-op-202509 Table 1,TRUE
2019-10-01,0.55,monthly,TGS-pub-op-202509 Table 1,TRUE
2019-11-01,-1.39,monthly,TGS-pub-op-202509 Table 1,TRUE
2020-01-01,6.36,monthly,TGS-pub-op-202509 Table 1,TRUE
2020-02-01,1.07,monthly,TGS-pub-op-202509 Table 1,TRUE
2020-03-01,-0.49,monthly,TGS-pub-op-202509 Table 1,TRUE
2020-04-01,2.52,monthly,TGS-pub-op-202509 Table 1,TRUE
2020-05-01,-3.77,monthly,TGS-pub-op-202509 Table 1,TRUE
2020-06-01,1.27,monthly,TGS-pub-op-202509 Table 1,TRUE
2020-07-01,-0.33,monthly,TGS-pub-op-202509 Table 1,TRUE
2020-08-01,-2.38,monthly,TGS-pub-op-202509 Table 1,TRUE
2020-09-01,0.95,monthly,TGS-pub-op-202509 Table 1,TRUE
2020-10-01,-2.56,monthly,TGS-pub-op-202509 Table 1,TRUE
2020-11-01,0.31,monthly,TGS-pub-op-202509 Table 1,TRUE
2020-12-01,0.60,monthly,TGS-pub-op-202509 Table 1,TRUE
2021-01-01,-5.08,monthly,TGS-pub-op-202509 Table 1,TRUE
2021-02-01,-1.99,monthly,TGS-pub-op-202509 Table 1,TRUE
2021-03-01,5.19,monthly,TGS-pub-op-202509 Table 1,TRUE
2021-04-01,-1.55,monthly,TGS-pub-op-202509 Table 1,TRUE
2021-05-01,3.59,monthly,TGS-pub-op-202509 Table 1,TRUE
2021-06-01,-0.07,monthly,TGS-pub-op-202509 Table 1,TRUE
2021-07-01,-1.42,monthly,TGS-pub-op-202509 Table 1,TRUE
2021-08-01,-0.91,monthly,TGS-pub-op-202509 Table 1,TRUE
2021-09-01,-5.28,monthly,TGS-pub-op-202509 Table 1,TRUE
2021-10-01,1.61,monthly,TGS-pub-op-202509 Table 1,TRUE
2021-11-01,7.40,monthly,TGS-pub-op-202509 Table 1,TRUE
2021-12-01,0.59,monthly,TGS-pub-op-202509 Table 1,TRUE
2022-01-01,-2.99,monthly,TGS-pub-op-202509 Table 1,TRUE
2022-02-01,-2.92,monthly,TGS-pub-op-202509 Table 1,TRUE
2022-03-01,-2.05,monthly,TGS-pub-op-202509 Table 1,TRUE
2022-04-01,-1.40,monthly,TGS-pub-op-202509 Table 1,TRUE
2022-05-01,-0.97,monthly,TGS-pub-op-202509 Table 1,TRUE
2022-06-01,3.97,monthly,TGS-pub-op-202509 Table 1,TRUE
2022-07-01,-3.18,monthly,TGS-pub-op-202509 Table 1,TRUE
2022-08-01,-0.63,monthly,TGS-pub-op-202509 Table 1,TRUE
2022-09-01,-0.22,monthly,TGS-pub-op-202509 Table 1,TRUE
2022-10-01,-0.48,monthly,TGS-pub-op-202509 Table 1,TRUE
2022-11-01,1.97,monthly,TGS-pub-op-202509 Table 1,TRUE
2022-12-01,-6.09,monthly,TGS-pub-op-202509 Table 1,TRUE
2023-01-01,5.03,monthly,TGS-pub-op-202509 Table 1,TRUE
2023-02-01,0.90,monthly,TGS-pub-op-202509 Table 1,TRUE
2023-03-01,2.19,monthly,TGS-pub-op-202509 Table 1,TRUE
2023-04-01,0.91,monthly,TGS-pub-op-202509 Table 1,TRUE
2023-05-01,0.57,monthly,TGS-pub-op-202509 Table 1,TRUE
2023-06-01,-5.38,monthly,TGS-pub-op-202509 Table 1,TRUE
2023-07-01,1.05,monthly,TGS-pub-op-202509 Table 1,TRUE
2023-08-01,0.55,monthly,TGS-pub-op-202509 Table 1,TRUE
2023-09-01,3.49,monthly,TGS-pub-op-202509 Table 1,TRUE
2023-10-01,-2.44,monthly,TGS-pub-op-202509 Table 1,TRUE
2023-11-01,3.02,monthly,TGS-pub-op-202509 Table 1,TRUE
2023-12-01,-1.15,monthly,TGS-pub-op-202509 Table 1,TRUE
2024-01-01,-3.03,monthly,TGS-pub-op-202509 Table 1,TRUE
2024-02-01,-4.23,monthly,TGS-pub-op-202509 Table 1,TRUE
2024-03-01,6.87,monthly,TGS-pub-op-202509 Table 1,TRUE
2024-04-01,0.51,monthly,TGS-pub-op-202509 Table 1,TRUE
2024-05-01,-4.14,monthly,TGS-pub-op-202509 Table 1,TRUE
2024-06-01,0.28,monthly,TGS-pub-op-202509 Table 1,TRUE
2024-07-01,1.13,monthly,TGS-pub-op-202509 Table 1,TRUE
2024-08-01,-2.19,monthly,TGS-pub-op-202509 Table 1,TRUE
2024-09-01,-1.94,monthly,TGS-pub-op-202509 Table 1,TRUE
2024-10-01,4.41,monthly,TGS-pub-op-202509 Table 1,TRUE
2024-11-01,-2.23,monthly,TGS-pub-op-202509 Table 1,TRUE
2024-12-01,1.13,monthly,TGS-pub-op-202509 Table 1,TRUE
2025-01-01,2.32,monthly,TGS-pub-op-202509 Table 1,TRUE
2025-02-01,1.22,monthly,TGS-pub-op-202509 Table 1,TRUE
2025-03-01,3.24,monthly,TGS-pub-op-202509 Table 1,TRUE
2025-04-01,1.53,monthly,TGS-pub-op-202509 Table 1,TRUE
2025-05-01,2.01,monthly,TGS-pub-op-202509 Table 1,TRUE
2025-06-01,1.57,monthly,TGS-pub-op-202509 Table 1,TRUE
2025-07-01,2.10,monthly,TGS-pub-op-202509 Table 1,TRUE
2025-08-01,1.99,monthly,TGS-pub-op-202509 Table 1,TRUE
2025-09-01,-1.76,monthly,TGS-pub-op-202509 Table 1,TRUE
2025-10-01,,monthly,Matt Lee - NEEDED,FALSE
2025-11-01,,monthly,Matt Lee - NEEDED,FALSE
2025-12-01,,monthly,Matt Lee - NEEDED,FALSE
